id,location_name,description
L1,Tortuga,the infamous lawless pirate haven and port of refuge
L2,Port Royal,a heavily guarded British settlement and naval base & home to Governor Swann and Elizabeth
L3,Isla de Muerta,the mysterious island resembling a skull that could only be found by those who already knew where it was - where Barbossa's cursed treasure was hidden
L4,Shipwreck Cove,the hidden fortress and haven for the world's pirates - where the Fourth and final Brethren Court is held
L5,Davy Jones' Locker,a limbo-like realm in the Land of the Dead where souls lost at sea go
L6,Isla Cruces,the plague island with the ruined church and mill where the treasure chest containing Davy Jones' heart was buried
L7,Whitecap Bay,the cove where mermaids are hunted for their tears - necessary for the ritual at the Fountain of Youth
L8,Fountain of Youth,the legendary spring that grants eternal life
L9,The Devil's Triangle,a treacherous supernatural region where Captain Salazar's ship and crew were cursed
L10,Poseidon's Tomb,the underwater resting place of the Trident of Poseidon
L11,London,the capital of England and Great Britain where Jack and Gibbs are briefly apprehended
L12,Singapore,the bustling & fictionalized port where the Brethren Court meets to secure the map to the Locker
